Season,City,Year,Sport,Event,Name,NOC
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Michelle Gisin,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Mikaela Shiffrin,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Wendy Holdener,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Ragnhild Mowinckel,NOR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Petra Vlhova,SVK
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Valerie Grenier,CAN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Ramona Siebenhofer,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Federica Brignone,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Denise Feierabend,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Marta Bassino,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Ana Bucik,SLO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Laura Gauche,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Ricarda Haaser,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Nevena Ignjatovic,SRB
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Alice Merryweather,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Maryna Gasienica-Daniel,POL
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Katerina Paulathova,CZE
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Barbara Kantorova,SVK
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Lindsey Vonn,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Johanna Schnarf,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Noelle Barahona,CHI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Greta Small,AUS
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Candace Crawford,CAN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Kim Vanreusel,BEL
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Elvedina Muzaferija,BIH
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Roni Remme,CAN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Romane Miradoli,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Alexandra Coletti,MON
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Anne-Sophie Barthet,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Sofia Goggia,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Stephanie Venier,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined W,Marusa Ferk,SLO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Marcel Hirscher,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Alexis Pinturault,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Victor Muffat-Jeandet,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Marco Schwarz,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Ted Ligety,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Thomas Mermillod Blondin,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Kjetil Jansrud,NOR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Stefan Hadalin,SLO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Thomas Dressen,GER
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Klemen Kosi,SLO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Luca Ärni,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Mauro Caviezel,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Filip Zubcic,CRO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Christof Innerhofer,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Carlo Janka,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Ondrej Berndt,CZE
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Bryce Bennett,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Riccardo Tonetti,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Natko Zrncic-Dim,CRO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,James Crawford,CAN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Aleksander Aamodt Kilde,NOR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Adam Zampa,SVK
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Broderick Thompson,CAN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Andreas Romar,FIN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Marko Vukicevic,SRB
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Kristaps Zvejnieks,LAT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Joan Verdu,AND
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Olivier Jenot,MON
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Marc Oliveras,AND
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Christoffer Faarup,DEN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Igor Zakurdaev,KAZ
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Dalibor Samsal,CRO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Kim Dongwoo,KOR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Yuri Danilochkin,BLR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Marton Kekesi,HUN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Jared Goldberg,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Albin Tahiri,KOS
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Aksel Lund Svindal,NOR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Peter Fill,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Manuel Osborne-Paradis,CAN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Dominik Paris,ITA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Matthias Mayer,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Benjamin Thomsen,CAN
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Henrik von Appen,CHI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Matej Falat,SVK
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Marco Pfiffner,LIE
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Justin Murisier,SUI
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Martin Cater,SLO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Vincent Kriechmayr,AUT
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Maxence Muzaton,FRA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Linus Strasser,GER
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Jan Zabystran,CZE
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Sebastian Foss-Solevaag,NOR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Filip Forejtek,CZE
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Michal Klusak,POL
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Ivan Kovbasnyuk,UKR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Simon Breitfuss Kammerlander,BOL
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Patrick McMillan,IRL
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Bostjan Kline,SLO
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Josef Ferstl,GER
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Andreas Sander,GER
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Christopher Hörl,MDA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Ryan Cochran-Siegle,USA
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Pavel Trikhichev,OAR
Winter,PyeongChang,2018,Alpine Skiing,Alpine combined M,Marko Stevovic,SRB
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Sofia Goggia,ITA
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Ragnhild Mowinckel,NOR
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Lindsey Vonn,USA
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Tina Weirather,LIE
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Alice McKennis,USA
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Corinne Suter,SUI
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Breezy Johnson,USA
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Michelle Gisin,SUI
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Viktoria Rebensburg,GER
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Ramona Siebenhofer,AUT
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Kira Weidle,GER
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Nicole Schmidhofer,AUT
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Cornelia Hütter,AUT
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Tiffany Gauthier,FRA
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Laurenne Ross,USA
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Jennifer Piot,FRA
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Lisa Hörnblad,SWE
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Romane Miradoli,FRA
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Marusa Ferk,SLO
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Greta Small,AUS
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Valerie Grenier,CAN
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Laura Gauche,FRA
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Roni Remme,CAN
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Maryna Gasienica-Daniel,POL
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Noelle Barahona,CHI
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Katerina Paulathova,CZE
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Alexandra Coletti,MON
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Ania Monica Caill,ROU
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Barbara Kantorova,SVK
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Kim Vanreusel,BEL
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Elvedina Muzaferija,BIH
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Federica Brignone,ITA
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Nadia Fanchini,ITA
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Lara Gut,SUI
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Petra Vlhova,SVK
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Candace Crawford,CAN
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Stephanie Venier,AUT
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Jasmine Flury,SUI
Winter,PyeongChang,2018,Alpine Skiing,Downhill W,Nicol Delago,ITA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Aksel Lund Svindal,NOR
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Kjetil Jansrud,NOR
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Beat Feuz,SUI
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Dominik Paris,ITA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Thomas Dressen,GER
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Peter Fill,ITA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Vincent Kriechmayr,AUT
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Brice Roger,FRA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Matthias Mayer,AUT
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Andreas Sander,GER
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Max Franz,AUT
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Hannes Reichelt,AUT
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Mauro Caviezel,SUI
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Manuel Osborne-Paradis,CAN
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Aleksander Aamodt Kilde,NOR
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Bryce Bennett,USA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Christof Innerhofer,ITA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Johan Clarey,FRA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Martin Cater,SLO
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Jared Goldberg,USA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Marc Gisin,SUI
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Emanuele Buzzi,ITA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Maxence Muzaton,FRA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Ryan Cochran-Siegle,USA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Josef Ferstl,GER
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Adrien Theaux,FRA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Bostjan Kline,SLO
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Benjamin Thomsen,CAN
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Miha Hrobat,SLO
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Wiley Maple,USA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Andreas Romar,FIN
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Dustin Cook,CAN
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Gilles Roulin,SUI
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Henrik von Appen,CHI
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Broderick Thompson,CAN
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Christoffer Faarup,DEN
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Joan Verdu,AND
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Filip Forejtek,CZE
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Igor Zakurdaev,KAZ
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Christopher Hörl,MDA
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Marko Vukicevic,SRB
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Michal Klusak,POL
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Marco Pfiffner,LIE
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Yuri Danilochkin,BLR
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Jan Hudec,CZE
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Jan Zabystran,CZE
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Simon Breitfuss Kammerlander,BOL
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Kim Dongwoo,KOR
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Ivan Kovbasnyuk,UKR
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Albin Tahiri,KOS
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Marko Stevovic,SRB
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Patrick McMillan,IRL
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Marton Kekesi,HUN
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Klemen Kosi,SLO
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Marc Oliveras,AND
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Natko Zrncic-Dim,CRO
Winter,PyeongChang,2018,Alpine Skiing,Downhill M,Ondrej Berndt,CZE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Mikaela Shiffrin,USA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Ragnhild Mowinckel,NOR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Federica Brignone,ITA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Viktoria Rebensburg,GER
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Marta Bassino,ITA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Frida Hansdotter,SWE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Tessa Worley,FRA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Manuela Mölgg,ITA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Wendy Holdener,SUI
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Sara Hector,SWE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Sofia Goggia,ITA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Anna Veith,AUT
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Petra Vlhova,SVK
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Meta Hrovat,SLO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Nina Haver-Løseth,NOR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Estelle Alphand,SWE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Ricarda Haaser,AUT
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Kristin Lysdahl,NOR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Taina Barioz,FRA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Adeline Baud Mugnier,FRA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Ana Bucik,SLO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Tina Weirather,LIE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Ester Ledecka,CZE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Bernadette Schild,AUT
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Candace Crawford,CAN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Nevena Ignjatovic,SRB
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Maryna Gasienica-Daniel,POL
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Simone Wild,SUI
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Gabriela Capova,CZE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Anastasiia Silanteva,OAR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Megan McJames,USA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Andrea Komsic,CRO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Haruna Ishikawa,JPN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Ida Stimac,CRO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Alice Robinson,NZL
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Resi Stiegler,USA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Sona Moravcikova,SVK
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Maria Shkanova,BLR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Kim Vanreusel,BEL
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Maria Kirkova,BUL
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Barbara Kantorova,SVK
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Nicol Gastaldi,ARG
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Lelde Gasuna,LAT
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Elvedina Muzaferija,BIH
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Gim Sohui,KOR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Nino Tsiklauri,GEO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Kang Youngseo,KOR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Mialitiana Clerc,MAD
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Szonja Hozmann,HUN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Tess Arbez,IRL
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Mariya Grigorova,KAZ
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Sophia Ralli,GRE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Suela Mehilli,ALB
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Ieva Januskeviciute,LTU
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Kong Fanying,CHN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Arabella Caroline Ng,HKG
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Ozlem Carikcioglu,TUR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Jelena Vujicic,MNE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Noelle Barahona,CHI
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Ana Drev,SLO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Lara Gut,SUI
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Katerina Paulathova,CZE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Martina Dubovska,CZE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Stephanie Brunner,AUT
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Valerie Grenier,CAN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Freydis Einarsdottir,ISL
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Olha Knysh,UKR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Sabrina Simader,KEN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Tina Robnik,SLO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Alex Tilley,GBR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Leona Popovic,CRO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Patricia Mangan,USA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Maren Skjøld,NOR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Alexia Schenkel,THA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Anna Jogeva,EST
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Sarah Schleper,MEX
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Ania Monica Caill,ROU
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Lana Zbasnik,CRO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Elise Pellegrin,MLT
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Mariann Maroty,HUN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom W,Kim Ryon-hyang,PRK
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Marcel Hirscher,AUT
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Henrik Kristoffersen,NOR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Alexis Pinturault,FRA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Zan Kranjec,SLO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Thomas Fanara,FRA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Victor Muffat-Jeandet,FRA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Mathieu Faivre,FRA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Leif Nestvold-Haugen,NOR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Loic Meillard,SUI
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Matts Olsson,SWE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Ryan Cochran-Siegle,USA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Erik Read,CAN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Manfred Mölgg,ITA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Florian Eisath,ITA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Ted Ligety,USA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Gino Caviezel,SUI
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Samu Torsti,FIN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Trevor Philp,CAN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Luca Ärni,SUI
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Tommy Ford,USA
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Stefan Hadalin,SLO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Linus Strasser,GER
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Andre Myhrer,SWE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Filip Zubcic,CRO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Adam Zampa,SVK
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Fritz Dopfer,GER
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Albert Popov,BUL
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,James Crawford,CAN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Tomoya Ishii,JPN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Filip Forejtek,CZE
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Sam Maes,BEL
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Dominic Demschar,AUS
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Adam Barwood,NZL
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Kristaps Zvejnieks,LAT
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Willis Feasey,NZL
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Samuel Kolega,CRO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Olivier Jenot,MON
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Kim Dongwoo,KOR
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Tormis Laine,EST
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Marko Vukicevic,SRB
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Marton Kekesi,HUN
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Simon Breitfuss Kammerlander,BOL
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Dalibor Samsal,CRO
Winter,PyeongChang,2018,Alpine Skiing,Giant slalom M,Marko Stevovic,SRB
